group,config,runs,solved_runs,perfect_runs,median_expansions,mean_expansions,median_runtime_seconds,median_expansion_ratio_to_reference
bounds,all,7,7,7,562.0,6525.571428571428,0.35195598799327854,1.0
bounds,none,7,7,7,6517.0,5928098.142857143,0.23724016099004075,11.577264653641208
lowerbound,all,7,7,7,562.0,6525.571428571428,0.35327708699333016,1.0
lowerbound,improvement,7,7,7,562.0,6525.285714285715,0.021515023006941192,1.0
lowerbound,pair,7,7,7,5248.0,4789188.285714285,0.36891470600676257,8.703125
lowerbound,class-count,7,7,7,5248.0,4824131.285714285,0.11402392500895076,9.323268206039076
lowerbound,none,7,7,7,5248.0,4794563.571428572,0.12144973399699666,9.323268206039076
lowerbound,one-off,7,7,7,5248.0,4799886.857142857,0.11754942900734022,9.323268206039076
upperbound,disabled,7,7,7,562.0,6445.142857142857,0.34257817501202226,1.0
upperbound,enabled,7,7,7,562.0,6525.571428571428,0.341103575003217,1.0
