feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,class
147,271,65,0,0,0,0,0,194,0,39,2,121,0,0,0,0,0,0,31,0,9,0,11,0,25,0,0,0,0,180,0,0,209,190,0,205,436,0,93,0,251,9,0,0,0,0,0,58,52,0,66,225,58,0,0,0,0,0,0,0,0,276,201,0,331,0,0,0,0,0,11,0,368,108,0,0,0,123,0,0,61,72,18,0,0,93,28,0,0,127,62,0,24,82,0,0,0,0,27,1
180,400,29,0,36,0,0,0,138,48,1,0,189,0,86,0,0,0,0,67,141,80,16,172,17,67,0,0,0,0,0,0,34,319,270,265,207,381,0,295,22,170,0,0,6,0,0,5,18,68,0,64,542,64,0,56,0,0,0,0,0,6,420,282,46,281,0,0,0,0,25,0,37,360,53,14,12,0,145,17,0,0,172,77,34,0,201,199,0,9,107,41,0,56,45,32,0,84,20,0,0
198,267,51,0,0,0,0,0,172,0,0,0,125,0,0,0,0,0,13,0,0,20,0,35,0,20,0,0,0,0,0,11,0,243,219,0,172,481,0,105,0,238,206,0,0,0,0,26,0,50,0,0,234,60,0,0,0,14,0,0,0,0,354,57,0,340,0,23,0,0,0,61,36,423,0,0,0,0,132,0,0,0,0,7,0,0,112,6,53,0,138,33,0,15,55,0,0,6,0,0,1
134,236,20,0,0,0,0,3,193,11,99,12,92,0,62,0,28,3,0,26,0,34,12,35,35,30,85,0,0,0,3,0,12,259,188,15,220,481,0,200,52,192,0,0,0,0,0,67,138,19,0,0,560,70,0,55,38,25,0,0,24,43,366,509,16,312,0,0,0,0,0,4,49,435,64,0,5,0,56,26,0,6,162,46,14,0,99,161,74,0,103,0,0,21,66,0,0,0,0,0,1
86,55,485,0,0,6,0,0,121,0,65,80,219,60,30,0,26,0,0,559,0,0,11,347,0,3,0,0,0,0,0,57,0,108,136,64,351,718,9,13,107,383,0,9,0,2,12,0,220,180,36,39,0,48,0,60,279,29,0,0,490,0,51,0,77,745,31,0,0,0,0,0,107,687,31,0,0,0,12,0,59,0,0,0,0,0,0,0,40,0,195,17,414,18,138,0,1,4,0,11,0
0,0,194,0,0,0,11,23,267,195,317,166,515,149,288,0,75,0,0,506,0,108,0,306,38,52,37,0,0,63,0,46,32,0,0,69,49,361,0,183,207,46,0,48,176,0,36,0,179,57,203,0,109,103,22,92,111,49,16,0,384,199,343,0,81,98,0,0,0,0,0,9,22,366,2,0,0,12,0,0,0,17,31,0,99,0,433,14,93,106,281,0,304,9,30,125,124,66,2,0,0
175,91,466,0,0,0,0,0,178,0,24,138,266,0,12,0,0,0,0,587,0,0,1,333,0,160,0,0,0,0,0,37,0,164,196,0,420,755,0,0,34,314,32,0,4,0,0,0,84,70,0,0,0,93,0,0,132,34,0,0,316,0,65,0,35,698,6,0,0,0,0,0,102,729,0,8,0,0,9,0,0,9,0,6,0,0,2,0,28,0,394,0,274,68,133,0,0,0,0,0,1
177,129,496,0,0,0,0,0,182,8,37,155,316,12,77,0,0,196,0,605,0,9,18,384,0,32,0,0,0,0,0,0,0,215,203,25,441,743,0,32,35,294,227,0,7,0,0,0,138,121,65,49,0,53,0,10,116,59,0,0,295,0,68,0,112,660,0,37,33,0,0,0,17,717,41,5,0,0,5,0,0,71,0,70,0,0,10,0,0,0,348,0,260,110,161,0,24,0,0,4,0
117,222,56,0,0,0,0,0,209,0,15,2,104,0,0,0,0,0,0,0,0,19,48,67,0,98,0,0,0,0,0,93,0,213,246,0,237,440,0,134,0,261,0,0,0,0,0,15,50,35,0,40,339,89,0,0,0,39,0,0,0,0,297,169,0,351,0,3,0,0,0,0,33,367,0,0,0,0,28,0,0,0,81,1,0,45,93,40,0,0,123,5,0,40,74,0,0,0,0,0,0
155,125,141,0,10,0,0,28,325,78,466,201,258,252,105,0,98,26,0,256,9,250,0,188,63,21,0,0,0,20,0,0,0,38,166,56,142,186,0,234,536,79,0,76,0,0,201,0,570,137,72,144,152,153,0,242,410,128,252,0,491,191,191,0,137,222,0,0,198,0,0,11,0,192,52,2,0,27,10,33,192,1,126,77,26,0,231,0,0,19,357,0,392,0,33,11,40,0,0,0,0
