feature_0,feature_1,feature_2,class
23.349661,29.86088,4.19716,1
62.428811,22.772825,5.691332,0
48.272638,8.063227,9.5125,1
39.918946,14.799746,8.426956,0
33.232595,17.817427,14.248728,1
27.101284,13.404751,18.068187,0
52.491328,9.746183,5.080532,0
43.865826,18.706031,12.300193,1
31.795246,11.660241,15.498379,1
79.052775,12.263069,6.083357,0
54.194508,22.608776,6.486875,0
35.066522,2.53859,7.084479,0
40.434952,13.616403,9.319561,0
9.460303,21.010407,10.203904,0
49.159898,28.952001,7.896953,1
46.914543,17.258022,6.543242,0
45.767922,30.390819,4.27314,0
54.349277,25.815851,3.087667,1
64.314428,12.39822,12.239726,1
49.188499,11.024706,6.838271,0
76.652939,26.103957,6.352969,0
51.866679,19.819029,12.800585,0
29.262586,26.090016,15.386624,0
53.679798,20.002226,8.848325,1
68.879577,21.299838,10.57195,0
26.989108,14.012562,9.467213,0
72.079947,19.194236,4.163027,0
45.380312,17.806181,12.384688,0
53.83031,19.772365,8.555143,0
44.908491,16.486319,7.911769,0
56.521128,21.262055,17.702026,1
41.17038,28.26387,11.419559,0
37.96538,27.829664,0.264236,0
43.498354,15.322091,13.6182,0
43.343977,24.298524,8.253998,1
63.631147,18.167378,10.345877,1
52.564104,24.339034,7.215017,0
57.175338,20.863261,5.046247,0
29.521415,16.856372,6.431306,0
52.4953,17.325386,10.868459,0
31.857979,14.762502,8.897336,1
33.03287,28.333817,9.711018,1
38.245012,15.61043,14.286451,1
43.813534,16.47202,4.36303,0
43.142773,19.226898,8.876772,0
43.226535,19.188189,4.231545,0
38.858023,26.459855,10.16419,0
20.45723,30.63435,7.669443,0
42.15814,23.932471,12.115344,1
64.95006,14.892567,5.134576,1
46.87503,22.693788,6.884193,1
64.11579,15.984411,15.23861,0
63.62045,8.954399,12.416755,0
58.25248,10.963543,9.450022,0
29.61109,19.054076,5.318568,1
35.65635,8.575981,1.937343,0
34.02292,-0.83972,6.249028,1
28.17437,16.308784,11.336806,1
35.53192,20.241072,8.909814,0
38.53041,17.709451,9.430934,0
20.41723,26.322102,9.049957,0
33.77809,4.782958,7.864196,1
63.10095,29.157338,5.163299,0
32.61149,19.69438,10.572607,1
33.25269,21.352344,11.14138,1
59.17378,18.734254,10.947889,1
33.15636,11.386812,12.830182,0
22.99372,18.284004,5.020718,1
69.44475,23.565799,8.248992,1
34.46941,19.99901,7.756533,0
28.04734,9.644653,10.683043,0
60.69,16.370371,12.236151,1
53.38916,15.109621,2.107196,1
49.90884,23.861792,8.751306,0
37.82528,21.495394,5.591292,1
45.75806,6.595786,15.804572,1
49.30591,13.802382,16.353585,0
41.20675,15.319123,5.270854,0
22.85622,30.976788,7.054899,0
39.87962,22.875549,19.430787,1
53.3706,12.38571,11.611559,0
41.24611,16.846126,8.477768,0
29.33233,15.140352,9.333612,0
30.54214,13.89779,14.025725,0
44.02006,33.461639,17.710293,0
17.31954,11.170693,9.145336,0
47.55285,13.278143,11.438725,0
48.7886,21.843443,16.711769,0
50.94245,25.293528,4.832701,0
54.17788,-1.010836,13.357556,0
34.99632,17.475055,9.317477,1
53.995,12.819852,10.31,0
45.39257,28.392242,6.84285,0
41.65472,18.586462,12.707037,0
62.09379,11.98274,4.138981,0
30.31772,25.870682,6.959338,0
59.38179,23.05772,7.387254,0
27.40328,16.589789,4.807525,0
30.87474,7.389364,5.995377,0
33.45568,30.544974,8.199891,0
