feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,class
1.0,3.0,2.0,0.0,0.0,4.0,2.0,0.4,2.0,2.0,2.0,1.0,8.0,1.0,0.0,5.0,0.0,11.2,7.5,630.0,0.03,21.0,0.13,35.0,84.0,0.5,1.0,2.0,8.0,0.29,9.0,12.0,6.0,10.0,7.0,0.0,5.0,0
2.0,5.0,2.0,1.0,3.0,8.0,3.0,0.21,4.0,2.0,1.0,0.33,12.0,1.0,0.0,13.0,1.0,17.5,12.5,2734.06,0.07,46.0,0.08,151.89,218.72,0.33,2.0,4.0,11.0,0.15,20.0,26.0,12.0,15.0,20.0,23.53,14.0,1
0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.14,2.0,2.0,2.0,1.0,5.0,1.0,0.0,14.0,1.0,20.76,12.27,3126.53,0.08,58.0,0.08,173.7,254.75,0.5,1.0,2.0,5.0,0.13,27.0,31.0,11.0,10.0,15.0,0.0,14.0,0
2.0,3.0,2.0,0.0,0.0,4.0,2.0,0.1,2.0,2.0,2.0,1.0,7.0,1.0,0.0,20.0,1.0,32.81,7.76,1978.37,0.08,53.0,0.13,109.91,254.79,0.5,1.0,2.0,7.0,0.09,24.0,29.0,17.0,11.0,23.0,0.0,20.0,0
19.0,17.0,13.0,0.0,0.0,4.0,15.0,0.27,2.0,2.0,14.0,0.93,35.0,1.0,0.0,55.0,1.0,48.69,19.67,18831.94,0.32,159.0,0.05,1046.22,957.56,0.07,1.0,2.0,22.0,0.2,59.0,100.0,39.0,26.0,75.0,0.0,55.0,0
5.0,7.0,0.0,0.0,0.0,10.0,4.0,0.31,4.0,2.5,1.0,0.25,12.0,4.0,1.0,13.0,2.0,17.83,10.4,1928.85,0.06,41.0,0.1,107.16,185.47,1.0,3.0,5.0,10.0,0.21,16.0,25.0,10.0,13.0,19.0,0.0,13.0,0
1.0,5.0,3.0,0.0,0.0,8.0,3.0,0.25,4.0,2.0,3.0,1.0,11.0,1.0,0.0,12.0,2.0,19.82,16.0,5073.1,0.11,64.0,0.06,281.84,317.07,0.33,2.0,4.0,10.0,0.21,30.0,34.0,15.0,16.0,14.0,0.0,12.0,0
4.0,5.0,1.0,1.0,3.0,8.0,3.0,0.25,4.0,2.0,2.0,0.67,9.0,1.0,0.0,11.0,0.0,31.09,12.37,4760.62,0.13,75.0,0.08,264.48,384.7,0.33,2.0,4.0,8.0,0.15,33.0,42.0,20.0,15.0,20.0,26.67,12.0,0
0.0,3.0,0.0,0.0,0.0,4.0,2.0,0.18,2.0,2.0,1.0,0.5,6.0,1.0,0.0,11.0,1.0,16.61,3.0,149.49,0.02,15.0,0.33,8.3,49.83,0.5,1.0,2.0,6.0,0.17,4.0,11.0,4.0,6.0,12.0,0.0,11.0,0
1.0,7.0,0.0,0.0,1.0,12.0,4.0,0.31,6.0,2.0,1.0,0.25,14.0,1.0,0.0,13.0,1.0,14.3,23.27,7746.14,0.11,70.0,0.04,430.34,332.84,0.25,3.0,6.0,12.0,0.25,32.0,38.0,11.0,16.0,16.0,7.14,13.0,0
16.0,15.0,9.0,4.0,2.0,12.0,9.0,0.23,4.0,3.0,7.0,0.78,33.0,5.0,0.5,36.0,0.0,41.98,23.21,22625.5,0.32,165.0,0.04,1256.97,974.64,0.56,4.0,6.0,26.0,0.15,65.0,100.0,35.0,25.0,59.0,14.29,40.0,0
0.0,9.0,0.0,0.0,0.0,12.0,5.0,0.83,4.0,3.0,1.0,0.2,13.0,5.0,1.0,6.0,1.0,18.02,6.29,712.17,0.04,29.0,0.16,39.57,113.3,1.0,4.0,6.0,10.0,0.71,11.0,18.0,7.0,8.0,7.0,0.0,6.0,0
1.0,3.0,1.0,0.0,0.0,4.0,2.0,0.18,2.0,2.0,2.0,1.0,8.0,1.0,0.0,11.0,1.0,22.15,6.4,907.38,0.05,34.0,0.16,50.41,141.78,0.5,1.0,2.0,8.0,0.15,16.0,18.0,10.0,8.0,13.0,0.0,11.0,0
0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.5,2.0,2.0,2.0,1.0,6.0,1.0,0.0,4.0,1.0,12.17,8.4,858.37,0.03,25.0,0.12,47.69,102.19,0.5,1.0,2.0,6.0,0.4,7.0,18.0,5.0,12.0,5.0,0.0,4.0,0
34.0,37.0,4.0,21.0,62.0,72.0,19.0,0.15,36.0,2.0,3.0,0.16,90.0,1.0,0.0,107.0,0.0,65.2,50.76,168007.02,1.1,494.0,0.02,9333.72,3310.02,0.05,18.0,36.0,73.0,0.08,209.0,285.0,70.0,34.0,225.0,43.68,128.0,1
1.0,5.0,2.0,0.0,1.0,6.0,3.0,0.43,2.0,3.0,3.0,1.0,8.0,3.0,1.0,7.0,0.0,19.38,5.06,496.63,0.03,24.0,0.2,27.59,98.1,1.0,2.0,3.0,7.0,0.3,9.0,15.0,8.0,9.0,10.0,12.5,7.0,0
4.0,5.0,1.0,0.0,0.0,8.0,3.0,0.43,4.0,2.0,2.0,0.67,10.0,1.0,0.0,7.0,0.0,13.13,11.0,1588.72,0.05,34.0,0.09,88.26,144.43,0.33,2.0,4.0,9.0,0.25,16.0,18.0,8.0,11.0,12.0,0.0,7.0,0
2.0,3.0,0.0,1.0,0.0,4.0,2.0,0.18,2.0,2.0,1.0,0.5,6.0,1.0,0.0,10.0,2.0,14.55,10.56,1623.78,0.05,35.0,0.09,90.21,153.73,0.5,1.0,2.0,6.0,0.14,13.0,22.0,8.0,13.0,14.0,9.09,11.0,0
0.0,3.0,2.0,0.0,0.0,4.0,2.0,0.33,2.0,2.0,2.0,1.0,8.0,1.0,0.0,6.0,2.0,11.42,6.67,507.65,0.03,20.0,0.15,28.2,76.15,0.5,1.0,2.0,8.0,0.29,10.0,10.0,6.0,8.0,7.0,0.0,6.0,0
0.0,9.0,1.0,0.0,4.0,12.0,5.0,0.26,4.0,3.0,3.0,0.6,14.0,5.0,1.0,19.0,3.0,30.08,11.53,3998.33,0.12,70.0,0.09,222.13,346.79,1.0,4.0,6.0,11.0,0.21,28.0,42.0,17.0,14.0,24.0,17.39,19.0,0
9.0,13.0,6.0,7.0,4.0,24.0,7.0,0.15,12.0,2.0,6.0,0.86,37.0,1.0,0.0,40.0,0.0,67.47,13.2,11756.11,0.3,149.0,0.08,653.12,890.61,0.14,6.0,12.0,32.0,0.11,66.0,83.0,45.0,18.0,61.0,21.57,47.0,1
3.0,9.0,1.0,3.0,4.0,16.0,5.0,0.31,8.0,2.0,2.0,0.4,16.0,1.0,0.0,13.0,0.0,39.65,12.16,5863.3,0.16,90.0,0.08,325.74,482.18,0.2,4.0,8.0,13.0,0.21,38.0,52.0,25.0,16.0,24.0,35.0,16.0,1
