feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,class
0.5,0.26,0.1,0.9,0.9,0.9,0.1,0.367,0.42,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,1
0.5,0.26,0.1,0.1,0.1,0.5,0.1,0.367,0.58,0.42,0.26,0.1,0.9,0.1,0.9,0.1,0.1,0.26,0.9,0.367,0.1,0.1,0.1,0.5,0.0,0.367,0.9,0
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.367,0.26,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.633,0.633,0.1,0.1,0.5,0.5,0.0,0.367,0.367,0
0.1,0.74,0.7,0.1,0.5,0.1,0.1,0.367,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,1
0.1,0.42,0.4,0.1,0.5,0.1,0.1,0.367,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,1
0.3,0.42,0.3,0.9,0.9,0.1,0.1,0.367,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.633,0.633,0.633,0.9,0.9,0.1,0.0,0.367,0.1,1
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.367,0.26,0.42,0.42,0.1,0.1,0.5,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.367,0.26,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,1
0.9,0.42,0.1,0.1,0.1,0.1,0.9,0.1,0.58,0.42,0.42,0.1,0.5,0.5,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,1
0.5,0.26,0.1,0.9,0.9,0.9,0.1,0.367,0.42,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.367,0.1,0.9,0.9,0.9,0.0,0.367,0.633,1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.42,0.26,0.1,0.9,0.1,0.9,0.1,0.1,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.58,0.26,0.1,0.1,0.1,0.5,0.1,0.5,0.58,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.42,0.9,0.7,0.1,0.5,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,1
