feature_0,feature_1,feature_2,class
41,190,67,1
36,118,72,1
12,149,74,0
18,313,62,0
23,299,65,1
19,99,59,0
8,19,61,0
16,256,69,1
11,290,66,1
14,274,68,0
18,65,58,0
14,334,64,0
34,307,66,0
6,78,57,0
30,322,68,0
11,44,62,1
1,8,59,1
11,320,73,0
4,25,61,1
32,92,61,0
23,13,67,0
45,252,81,0
115,223,79,1
37,279,76,1
29,127,82,1
71,291,90,0
39,323,87,0
23,148,82,1
21,191,77,0
37,284,72,0
20,37,65,1
12,120,73,0
13,137,76,0
135,269,84,1
49,248,85,1
32,236,81,1
64,175,83,1
40,314,83,0
77,276,88,1
97,267,92,1
97,272,92,1
85,175,89,1
10,264,73,0
27,175,81,0
7,48,80,0
48,260,81,1
35,274,82,0
61,285,84,1
79,187,87,1
63,220,85,0
16,7,74,1
80,294,86,1
108,223,85,1
20,81,82,1
52,82,86,0
82,213,88,1
50,275,86,1
64,253,83,1
59,254,81,1
39,83,81,1
9,24,81,0
16,77,82,1
122,255,89,1
89,229,90,0
110,207,90,1
44,192,86,0
28,273,82,0
65,157,80,1
22,71,77,0
59,51,79,1
23,115,76,1
31,244,78,0
44,190,78,0
21,259,77,0
9,36,72,0
45,212,79,1
168,238,81,1
73,215,86,1
76,203,97,1
118,225,94,1
84,237,96,1
85,188,94,1
96,167,91,1
78,197,92,1
73,183,93,1
91,189,93,1
47,95,87,1
32,92,84,0
20,252,80,0
23,220,78,0
21,230,75,0
24,259,73,1
44,236,81,0
21,259,76,0
28,238,77,1
9,24,71,0
13,112,71,0
46,237,78,1
18,224,67,0
13,27,76,0
